id,Country ,Date,Brand,Total_increase
2561,Taiwan,2021-10-07,Oxford/AstraZeneca,218252
2560,Taiwan,2021-10-07,ALL,300328
2559,Taiwan,2021-10-08,BNT,27030
2558,Taiwan,2021-10-08,°ªºÝ,10272
2557,Taiwan,2021-10-08,Moderna,32369
2556,Taiwan,2021-10-08,Oxford/AstraZeneca,250535
2555,Taiwan,2021-10-08,ALL,320206
2554,Taiwan,2021-10-11,BNT,24379
2553,Taiwan,2021-10-11,°ªºÝ,19665
2552,Taiwan,2021-10-11,Moderna,48886
2551,Taiwan,2021-10-11,Oxford/AstraZeneca,216955
2550,Taiwan,2021-10-11,ALL,309885
2549,Taiwan,2021-10-12,BNT,24725
2548,Taiwan,2021-10-12,°ªºÝ,38773
2547,Taiwan,2021-10-12,Moderna,15777
2546,Taiwan,2021-10-12,Oxford/AstraZeneca,157344
2545,Taiwan,2021-10-12,ALL,236619
2544,Taiwan,2021-10-13,BNT,174023
2543,Taiwan,2021-10-13,°ªºÝ,6649
2542,Taiwan,2021-10-13,Moderna,28006
2541,Taiwan,2021-10-13,Oxford/AstraZeneca,40399
2540,Taiwan,2021-10-13,ALL,249077
2539,Taiwan,2021-10-14,BNT,157575
2538,Taiwan,2021-10-14,°ªºÝ,3489
2537,Taiwan,2021-10-14,Moderna,64131
2536,Taiwan,2021-10-14,Oxford/AstraZeneca,14085
2535,Taiwan,2021-10-14,ALL,239280
2534,Taiwan,2021-10-15,BNT,227377
2533,Taiwan,2021-10-15,°ªºÝ,3800
2532,Taiwan,2021-10-15,Moderna,49471
2531,Taiwan,2021-10-15,Oxford/AstraZeneca,111501
2530,Taiwan,2021-10-15,ALL,392149
2529,Taiwan,2021-10-17,BNT,199902
2528,Taiwan,2021-10-17,°ªºÝ,1814
2527,Taiwan,2021-10-17,Moderna,58103
2526,Taiwan,2021-10-17,Oxford/AstraZeneca,96664
2525,Taiwan,2021-10-17,ALL,356483
2524,Taiwan,2021-10-18,BNT,224611
2523,Taiwan,2021-10-18,°ªºÝ,2530
2522,Taiwan,2021-10-18,Moderna,9295
2521,Taiwan,2021-10-18,Oxford/AstraZeneca,94287
2520,Taiwan,2021-10-18,ALL,330723
2519,Taiwan,2021-10-19,BNT,169032
2518,Taiwan,2021-10-19,°ªºÝ,2352
2517,Taiwan,2021-10-19,Moderna,8624
2516,Taiwan,2021-10-19,Oxford/AstraZeneca,139739
2515,Taiwan,2021-10-19,ALL,319747
2514,Taiwan,2021-10-20,BNT,127752
2513,Taiwan,2021-10-20,°ªºÝ,2254
2512,Taiwan,2021-10-20,Moderna,7184
2511,Taiwan,2021-10-20,Oxford/AstraZeneca,177144
2510,Taiwan,2021-10-20,ALL,314334
2509,Taiwan,2021-10-21,BNT,103005
2508,Taiwan,2021-10-21,°ªºÝ,2734
2507,Taiwan,2021-10-21,Moderna,10666
2506,Taiwan,2021-10-21,Oxford/AstraZeneca,195660
2505,Taiwan,2021-10-21,ALL,312065
2504,Taiwan,2021-10-22,BNT,186271
2503,Taiwan,2021-10-22,°ªºÝ,3075
2502,Taiwan,2021-10-22,Moderna,159961
2501,Taiwan,2021-10-22,Oxford/AstraZeneca,71697
2500,Taiwan,2021-10-22,ALL,421004
2499,Taiwan,2021-10-24,BNT,264067
2498,Taiwan,2021-10-24,°ªºÝ,1361
2497,Taiwan,2021-10-24,Moderna,96094
2496,Taiwan,2021-10-24,Oxford/AstraZeneca,137106
2495,Taiwan,2021-10-24,ALL,498628
2494,Taiwan,2021-10-25,BNT,169658
2493,Taiwan,2021-10-25,°ªºÝ,2197
2492,Taiwan,2021-10-25,Moderna,112322
2491,Taiwan,2021-10-25,Oxford/AstraZeneca,125992
2490,Taiwan,2021-10-25,ALL,410169
2489,Taiwan,2021-10-26,BNT,139328
2488,Taiwan,2021-10-26,°ªºÝ,1884
2487,Taiwan,2021-10-26,Moderna,114130
2486,Taiwan,2021-10-26,Oxford/AstraZeneca,131553
2485,Taiwan,2021-10-26,ALL,386895
2484,Taiwan,2021-10-27,BNT,97541
2483,Taiwan,2021-10-27,°ªºÝ,2220
2482,Taiwan,2021-10-27,Moderna,83566
2481,Taiwan,2021-10-27,Oxford/AstraZeneca,188720
2480,Taiwan,2021-10-27,ALL,372047
2479,Taiwan,2021-10-28,BNT,227860
2478,Taiwan,2021-10-28,°ªºÝ,2296
2477,Taiwan,2021-10-28,Moderna,56355
2476,Taiwan,2021-10-28,Oxford/AstraZeneca,68229
2475,Taiwan,2021-10-28,ALL,354740
2474,Taiwan,2021-10-29,BNT,273669
2473,Taiwan,2021-10-29,°ªºÝ,3088
2472,Taiwan,2021-10-29,Moderna,50985
2471,Taiwan,2021-10-29,Oxford/AstraZeneca,75372
2470,Taiwan,2021-10-29,ALL,403114
